Fixture ID,Game Date,Home Team ID,Away Team ID,Home Team Goals,Away Team Goals
157188,2019-12-21,45.0,42.0,0.0,0.0
157185,2019-12-21,35.0,44.0,0.0,1.0
157186,2019-12-21,66.0,41.0,1.0,3.0
157187,2019-12-21,51.0,62.0,0.0,1.0
157190,2019-12-21,34.0,52.0,1.0,0.0
157191,2019-12-21,71.0,39.0,1.0,2.0
157189,2019-12-21,50.0,46.0,3.0,1.0
157193,2019-12-22,38.0,33.0,2.0,0.0
157192,2019-12-22,47.0,49.0,0.0,2.0
157203,2019-12-26,47.0,51.0,2.0,1.0
157195,2019-12-26,35.0,42.0,1.0,1.0
157196,2019-12-26,66.0,71.0,1.0,0.0
157197,2019-12-26,49.0,41.0,0.0,2.0
157198,2019-12-26,52.0,48.0,2.0,1.0
157199,2019-12-26,45.0,44.0,1.0,0.0
157202,2019-12-26,62.0,38.0,1.0,1.0
157201,2019-12-26,33.0,34.0,4.0,1.0
157200,2019-12-26,46.0,40.0,0.0,4.0
157204,2019-12-27,39.0,50.0,3.0,2.0
157206,2019-12-28,51.0,35.0,2.0,0.0
157210,2019-12-28,34.0,45.0,1.0,2.0
157212,2019-12-28,41.0,52.0,1.0,1.0
157213,2019-12-28,38.0,66.0,3.0,0.0
157211,2019-12-28,71.0,47.0,2.0,2.0
157214,2019-12-28,48.0,46.0,1.0,2.0
157207,2019-12-28,44.0,33.0,0.0,2.0
157205,2019-12-29,42.0,49.0,1.0,2.0
157208,2019-12-29,40.0,39.0,1.0,0.0
157209,2019-12-29,50.0,62.0,2.0,0.0
157216,2020-01-01,51.0,49.0,1.0,1.0
157217,2020-01-01,44.0,66.0,1.0,2.0
157220,2020-01-01,34.0,46.0,0.0,3.0
157222,2020-01-01,41.0,47.0,1.0,0.0
157223,2020-01-01,38.0,39.0,2.0,1.0
157219,2020-01-01,50.0,45.0,2.0,1.0
157221,2020-01-01,71.0,52.0,1.0,1.0
157224,2020-01-01,48.0,35.0,4.0,0.0
157215,2020-01-01,42.0,33.0,2.0,0.0
157218,2020-01-02,40.0,62.0,2.0,0.0
157232,2020-01-10,62.0,48.0,1.0,0.0
157228,2020-01-11,52.0,42.0,1.0,1.0
157227,2020-01-11,49.0,44.0,3.0,0.0
157229,2020-01-11,45.0,51.0,1.0,0.0
157230,2020-01-11,46.0,41.0,1.0,2.0
157231,2020-01-11,33.0,71.0,4.0,0.0
157234,2020-01-11,39.0,34.0,1.0,1.0
157233,2020-01-11,47.0,40.0,0.0,1.0
157225,2020-01-12,35.0,38.0,0.0,3.0
157226,2020-01-12,66.0,50.0,1.0,6.0
157243,2020-01-18,38.0,47.0,0.0,0.0
157235,2020-01-18,42.0,62.0,1.0,1.0
157236,2020-01-18,51.0,66.0,1.0,1.0
157239,2020-01-18,50.0,52.0,2.0,2.0
157241,2020-01-18,71.0,35.0,1.0,0.0
157242,2020-01-18,41.0,39.0,2.0,3.0
157244,2020-01-18,48.0,45.0,1.0,1.0
157240,2020-01-18,34.0,49.0,1.0,0.0
157237,2020-01-19,44.0,46.0,2.0,1.0
157238,2020-01-19,40.0,33.0,2.0,0.0
157245,2020-01-21,35.0,51.0,3.0,1.0
157246,2020-01-21,66.0,38.0,2.0,1.0
157247,2020-01-21,45.0,34.0,2.0,2.0
